x,PBS,PBA,PBS79/A21,PBS59/A41,PBS50/A50,PBS39/A61,PBS21/A79
"1332,34","85,269","24,62","74,193","64,327","54,958","45,612","36,398"
"1335,15","87,421","24,619","78,174","66,032","55,804","45,867","36,411"
"1340,2","91,049","24,543","81,413","69,166","57,27","46,264","36,002"
"1342,36","92,116","24,461","82,085","69,825","57,716","46,398","35,682"
"1343,33","92,516","24,411","82,331","70,011","57,872","46,447","35,513"
"1343,85","92,713","24,38","82,452","70,089","57,943","46,471","35,416"
"1345,03","93,123","24,297","82,706","70,223","58,077","46,514","35,179"
"1345,67","93,326","24,244","82,831","70,275","58,135","46,532","35,042"
"1355,83","95,443","22,029","84,108","70,227","58,332","46,042","32,513"
"1361,78","96,011","18,177","84,416","70,252","58,322","45,282","31,228"
"1363,61","96,094","16,989","84,452","70,467","58,393","45,217","30,963"
"1364,12","96,109","16,747","84,457","70,557","58,426","45,235","30,906"
"1366,33","96,123","16,531","84,449","71,097","58,651","45,515","30,787"
"1367,39","96,097","16,982","84,426","71,426","58,806","45,74","30,829"
"1370,81","95,817","19,728","84,243","72,283","59,412","46,663","31,656"
"1371,13","95,77","20,014","84,214","72,313","59,467","46,754","31,794"
"1372,62","95,476","21,294","84,044","72,31","59,697","47,163","32,572"
"1376,51","93,955","23,615","83,14","71,55","59,93","47,893","34,924"
"1377,01","93,673","23,766","82,944","71,419","59,918","47,928","35,165"
"1377,41","93,444","23,858","82,768","71,313","59,903","47,943","35,339"
"1380,18","92,167","23,924","81,216","70,582","59,704","47,794","36,072"
"1381,49","91,944","23,7","80,886","70,268","59,573","47,607","36,166"
"1382,87","91,935","23,344","80,894","69,976","59,419","47,36","36,151"
"1387,39","92,704","21,721","81,672","69,524","58,894","46,507","35,628"
"1390,07","93,348","20,772","82,304","69,776","58,631","46,237","35,129"
"1391,62","93,729","20,407","82,68","70,074","58,525","46,249","34,812"
"1393,62","94,207","20,375","83,155","70,554","58,479","46,42","34,393"
"1395,7","94,673","20,926","83,622","71,091","58,604","46,711","33,973"
"1398,69","95,238","22,103","84,195","71,76","59,11","47,165","33,518"
"1401,28","95,59","22,597","84,569","72,118","59,659","47,448","33,585"
"1403,56","95,749","22,494","84,77","72,194","59,993","47,529","34,473"
"1403,65","95,752","22,482","84,776","72,192","60,002","47,528","34,53"
"1405,46","95,74","22,205","84,818","72,075","60,103","47,452","35,225"
"1405,66","95,73","22,169","84,816","72,054","60,105","47,438","35,242"
"1405,83","95,72","22,136","84,812","72,035","60,106","47,425","35,248"
"1410,35","94,984","21,196","84,163","71,274","59,857","46,916","34,417"
"1414,35","93,667","20,727","82,401","70,39","59,438","46,424","33,601"
"1416,02","92,981","21,094","81,577","70,023","59,253","46,274","33,444"
"1419,85","91,367","23,688","80,503","69,323","58,878","46,197","33,72"
"1421,4","90,948","24,437","80,517","69,15","58,769","46,318","34,053"
"1421,89","90,924","24,613","80,574","69,116","58,743","46,374","34,178"
"1422,31","90,984","24,749","80,64","69,096","58,724","46,429","34,294"
"1423,22","91,516","24,993","80,826","69,088","58,699","46,565","34,564"
"1424,3","93,186","25,223","81,115","69,151","58,7","46,755","34,922"
"1426,75","96,286","25,575","81,941","69,597","58,874","47,251","35,813"
"1428,15","96,886","25,703","82,481","70,038","59,089","47,55","36,328"
"1435,68","96,646","25,821","85,245","73,16","60,811","48,758","37,558"
"1436,22","96,559","25,799","85,358","73,247","60,896","48,801","37,559"
"1437,07","96,419","25,76","85,469","73,305","61,006","48,853","37,548"
"1437,51","96,343","25,735","85,492","73,301","61,052","48,873","37,537"
"1439,14","96,058","25,626","85,349","73,129","61,164","48,912","37,464"
"1442,32","95,516","25,321","84,257","72,374","61,203","48,859","37,225"
"1445,5","95,122","24,89","83,501","71,691","61,095","48,686","36,92"
"1445,97","95,093","24,818","83,477","71,642","61,071","48,653","36,873"
"1446,09","95,087","24,799","83,474","71,633","61,064","48,645","36,86"
"1456,64","96,922","22,967","84,756","72,714","60,257","47,661","35,77"
"1456,84","96,918","22,936","84,778","72,723","60,24","47,642","35,751"
"1457,86","96,848","22,788","84,87","72,749","60,16","47,547","35,658"
"1459,43","96,631","22,59","84,925","72,727","60,042","47,411","35,525"
"1459,86","96,555","22,542","84,914","72,711","60,012","47,376","35,49"
"1462,47","96,01","22,336","84,58","72,544","59,853","47,211","35,307"
"1465,76","95,228","22,297","83,675","72,242","59,743","47,134","35,161"
"1468,01","94,745","22,401","83,452","72,024","59,765","47,199","35,139"
"1469,93","94,58","22,563","84,166","71,861","59,886","47,358","35,181"
"1471,99","95,935","22,81","84,837","71,744","60,187","47,663","35,294"
"1473,91","96,826","23,101","85,302","71,75","60,675","48,093","35,467"
"1473,93","96,831","23,104","85,305","71,751","60,679","48,097","35,469"
"1479,18","98,034","24,201","86,174","73,376","61,781","49,465","36,33"
"1480,98","98,291","24,684","86,392","74,488","62,026","49,793","36,766"
"1482,46","98,468","25,108","86,55","74,999","62,197","50,014","37,17"
"1488,16","98,961","26,36","87,027","75,4","62,685","50,606","38,45"
"1489,37","99,036","26,499","87,107","75,409","62,763","50,694","38,585"
"1490,84","99,118","26,626","87,195","75,415","62,85","50,788","38,711"
"1496,16","99,351","26,863","87,454","75,422","63,103","51,039","38,975"
"1497,01","99,38","26,883","87,487","75,423","63,135","51,069",39
"1497,08","99,382","26,885","87,49","75,423","63,138","51,071","39,002"
"1503,25","99,551","26,971","87,682","75,424","63,328","51,223","39,12"
"1522,55","99,762","27,008","87,961","75,432","63,597","51,344","39,206"
"1528,87","99,765","26,996","87,988","75,44","63,629","51,325","39,201"
"1545,18","99,675","26,95","87,964","75,463","63,643","51,213","39,172"
"1569,08","99,348","26,862","87,75","75,488","63,547","50,988","39,139"
"1569,36","99,343","26,861","87,747","75,488","63,545","50,985","39,139"
"1585,3","99,006","26,794","87,502","75,491","63,435","50,861","39,122"
"1588,59","98,924","26,78","87,44","75,489","63,409","50,84","39,118"
"1608,53","98,526","26,69","86,764","75,434","63,244","50,725","39,091"
"1608,63","98,525","26,689","86,761","75,433","63,243","50,724","39,09"
"1611,07","98,511","26,678","86,718","75,418","63,223","50,71","39,086"
"1611,47","98,509","26,676","86,712","75,415","63,22","50,708","39,085"
"1628,65","98,491","26,593","86,53","75,204","63,082","50,584","39,019"
"1630,13","98,486","26,585","86,515","75,175","63,07","50,569","39,009"
"1648,43","98,21","26,469","86,288","74,576","62,823","50,287","38,711"
"1654,02","97,972","26,397","86,19","74,257","62,635","50,148","38,509"
"1656,07","97,849","26,359","86,148","74,12","62,535","50,087","38,412"
"1658,75","97,641","26,292","86,086","73,922","62,374","49,996","38,262"
"1662,79","97,18","26,136","85,973","73,587","62,071","49,824","37,983"
"1665,73","96,686","25,955","85,866","73,314","61,805","49,653","37,733"
"1670,78","95,358","25,465","85,566","72,79","61,268","49,171","37,208"
"1674,74","94,092","24,944","84,802","72,335","60,787","48,601","36,71"
"1675,71","93,921","24,804","83,488","72,22","60,664","48,47","36,579"
"1676,22","93,866","24,728","83,303","72,159","60,598","48,403","36,508"
"1679,57","93,86","24,207","82,607","71,755","60,152","47,988","36,026"
"1680,38","93,885","24,075","82,482","71,658","60,041","47,89","35,905"
1683,"93,895","23,634","82,128","71,357","59,673","47,57","35,507"
"1687,26","93,384","22,887","81,655","70,919","59,009","47,018","34,849"
"1691,83","91,584","22,052","81,245","70,226","58,111","46,314","34,14"
"1693,13","90,738","21,811","81,145","69,883","57,801","46,088","33,943"
"1694,75","89,435","21,51","80,989","69,3","57,368","45,79","33,703"
"1697,54","86,709","20,982","80,015","67,816","56,469","45,241","33,329"
"1698,16","86,045","20,854","79,456","67,398","56,234","45,112","33,259"
"1698,52","85,659","20,778","79,053","67,145","56,092","45,038","33,221"
"1700,19","83,813","20,376","76,537","65,841","55,345","44,664","32,934"
"1703,14","80,652","19,372","71,489","63,269","53,565","43,755","30,568"
"1704,75","79,076","18,569","69,055","61,792","52,16","42,942","28,801"
"1706,42","77,633","17,499","66,919","60,262","50,276","41,518","26,97"
"1709,63","75,557","14,754","63,982","57,451","45,898","35,5","23,618"
"1711,64","74,812","12,687","62,937","55,891","43,764","32,644","21,691"
"1712,71","74,605","11,551","62,624","55,163","43,028","31,603","20,73"
"1713,7","74,53","10,491","62,48","54,564","42,567","30,805","19,874"
"1714,37","74,539","9,797","62,463","54,22","42,367","30,349","19,329"
"1714,84","74,571","9,316","62,484","54,008","42,27","30,058","18,958"
"1723,7","78,266","2,684","66,4","55,102","43,776","28,798","14,577"
"1724,26","78,652","2,49","66,798","55,456","43,982","29,028","14,536"
"1726,53","80,378","2,051","68,541","57,07","44,898","30,427","14,785"
"1729,07","82,564","2,284","70,659","58,978","46,044","32,708","15,857"
"1732,7","86,16","3,979","73,839","61,768","47,883","36,716","18,819"
"1733,34","86,852","4,42","74,379","62,26","48,23","37,44","19,507"
"1733,69","87,241","4,679","74,668","62,531","48,423","37,834","19,906"
"1735,71","89,598","6,36","76,144","64,06","49,589","39,969","22,439"
"1737,13","91,241","7,723","76,858","65,102","50,628","41,29","24,431"
"1737,65","91,707","8,251","77,045","65,47","51,908","41,734","25,187"
"1739,7","92,836","10,509","77,888","66,878","54,474","43,332","28,255"
"1739,95","92,935","10,794","78,016","67,042","54,656","43,506","28,616"
"1740,67","93,21","11,649","78,415","67,523","55,143","44,001","29,654"
"1743,44","94,15","15,117","80,081","69,537","56,581","45,663","32,988"
"1744,27","94,411","16,206","80,594","70,289","56,931","46,099","33,727"
"1747,33","95,304","20,25","82,43","71,831","58,03","47,476","35,521"
"1749,38","95,853","22,831","83,572","72,347","58,666","48,221","36,2"
"1751,71","96,436","25,238","84,721","72,767","59,327","48,878","36,714"
"1753,16","96,774","26,197","85,304","72,973","59,709","49,181","36,949"
"1753,87","96,935","26,405","85,548","73,066","59,892","49,307","37,05"
"1755,23","97,227","25,452","85,923","73,225","60,226","49,511","37,219"
"1756,45","97,476","25,352","86,173","73,355","60,514","49,666","37,352"
"1762,12","98,451","25,768","86,701","73,862","61,711","50,18","37,817"
"1764,87","98,798","25,914","86,792","74,072","62,201","50,339","37,985"
"1770,39","99,216","26,146","86,891","74,451","62,882","50,566","38,256"
"1773,73","99,356","26,259","86,937","74,664","63,082","50,669","38,397"
"1780,16","99,514","26,433","87,014","75,059","63,271","50,826","38,669"
"1783,12","99,56","26,499","87,046","75,257","63,319","50,888","38,82"
"1784,42","99,577","26,526","87,06","75,364","63,336","50,915","38,882"
"1801,86","99,695","26,78","87,222","75,587","63,46","51,275","39,284"
"1813,59","99,722","26,889","87,313","75,589","63,506","51,41","39,388"
"1821,64","99,73","26,947","87,368","75,59","63,535","51,427","39,434"
"1823,57","99,731","26,959","87,381","75,591","63,542","51,43","39,443"
"1851,59","99,732","27,085","87,527","75,603","63,632","51,471","39,52"
"1859,78","99,73","27,109","87,558","75,608","63,656","51,482","39,53"
"1860,06","99,73","27,11","87,559","75,608","63,657","51,482","39,53"
"1937,13","99,699","27,184","87,703","75,671","63,829","51,576","39,516"
"1950,6","99,693","27,183","87,714","75,684","63,842","51,591","39,504"
"1961,93","99,688","27,179","87,722","75,696","63,845","51,603","39,493"
"2015,69","99,662","27,148","87,745","75,764","63,6","51,658","39,435"
"2026,06","99,657","27,14","87,748","75,779","63,519","51,667","39,424"
"2084,38","99,627","27,085","87,757","75,879","63,532","51,713","39,377"
"2091,96","99,623","27,077","87,757","75,893","63,579","51,718","39,375"
"2124,61","99,605","27,043","87,758","75,955","63,82","51,728","39,413"
"2127,21","99,604","27,04","87,758","75,959","63,829","51,728","39,422"
"2146,63","99,593","27,021","87,757","75,988","63,845","51,718","39,582"
"2153,13","99,59","27,014","87,757","75,992","63,481","51,707","39,523"
"2155,99","99,588","27,012","87,757","75,99","63,748","51,7","39,496"
"2159,7","99,586","27,009","87,757","75,976","63,476","51,472","39,464"
"2162,83","99,584","27,006","87,757","75,882","63,475","51,436","39,439"
"2164,19","99,583","27,005","87,757","75,848","63,475","51,431","39,429"
"2178,03","99,576","26,997","87,756","75,739","63,475","51,412","39,345"
"2184,38","99,572","26,997","87,755","75,714","63,476","51,41","39,315"
"2184,89","99,572","26,997","87,755","75,713","63,476","51,41","39,313"
"2225,62","99,549","27,068","87,752","75,62","63,496","51,413","39,211"
"2225,69","99,548","27,068","87,752","75,62","63,496","51,413","39,211"
"2258,24","99,531","27,089","87,748","75,582","63,517","51,421","39,196"
"2311,39","99,508","27,091","87,743","75,583","63,555","51,431","39,216"
"2365,6","99,498","27,067","87,738","75,846","63,593","51,437","39,251"
"2393,99","99,498","27,042","87,737","75,788","63,612","51,438","39,268"
"2422,56","99,499","27,009","87,735","75,749","63,63","51,437","39,279"
"2433,82","99,5","26,993","87,735","75,745","63,637","51,437","39,282"
"2463,36","99,504","26,949","87,735","75,75","63,652","51,434","39,283"
"2468,39","99,505","26,941","87,735","75,753","63,654","51,433","39,282"
"2473,64","99,505","26,932","87,735","75,755","63,657","51,433","39,281"
"2558,16","99,52","26,808","87,733","75,798","63,679","51,41","39,222"
"2567,24","99,522","26,8","87,732","75,801","63,681","51,407","39,213"
"2622,41","99,532","26,801","87,723","75,784","63,682","51,379","39,155"
"2677,68","99,542","26,855","87,702","75,672","63,679","51,339","39,116"
"2727,01","99,549","26,842","87,668","75,517","63,679","51,289","39,134"
"2736,11","99,55","26,831","87,659","75,494","63,681","51,278","39,149"
"2752,36","99,551","26,811","87,641","75,469","63,685","51,257","39,186"
"2755,1","99,552","26,807","87,638","75,468","63,686","51,253","39,193"
"2778,78","99,552","26,774","87,603","75,477","63,691","51,215","39,269"
"2828,97","99,528","26,613","87,475","75,477","63,53","51,09","39,301"
"2830,73","99,524","26,603","87,468","75,468","63,507","51,083","39,284"
"2836,18","99,22","26,565","87,443","75,431","63,407","51,06","39,206"
"2838,44","98,798","26,548","87,432","75,408","63,348","51,049","39,159"
"2839,02","98,763","26,543","87,428","75,401","63,331","51,046","39,145"
"2840,02","98,711","26,534","87,423","75,388","63,299","51,041","39,12"
"2840,16","98,704","26,533","87,422","75,386","63,294","51,04","39,116"
"2851,23","98,374","26,413","87,348","75,034","62,578","50,243","38,627"
"2852,2","98,363","26,399","86,498","74,96","62,47","50,952","38,562"
2853,"98,355","26,387","87,333","74,885","62,378","50,943","38,505"
"2857,79","98,358","26,308","86,475","74,367","61,976","50,86","38,105"
"2858,96","98,37","26,286","86,481","74,336","61,942","49,492","37,994"
"2872,08","98,645","25,945","86,547","74,354","62,06","49,176","36,91"
"2872,73","98,655","25,923","86,55","74,357","62,068","49,171","36,884"
"2875,18","98,675","25,835","86,559","74,369","62,093","49,163","36,81"
"2885,42","98,448","25,395","86,568","74,34","62,096","49,338","36,727"
"2887,32","98,37","25,301","86,561","74,311","62,075","49,388","36,73"
"2892,19","98,157","25,046","86,513","74,192","61,988","49,444","36,745"
"2893,22","98,111","24,99","86,494","74,159","61,963","49,432","36,748"
"2895,79","97,999","24,846","86,427","74,066","61,891","49,364","36,754"
"2896,87","97,953","24,785","86,384","74,023","61,857","49,323","36,755"
"2902,7","97,718","24,447","85,766","73,754","61,636","49,026","36,746"
"2911,03","97,411","23,953","85,301","73,34","61,255","48,555","36,649"
"2912,69","97,353","23,855","85,255","73,269","61,175","48,468","36,613"
"2916,05","97,238","23,656","85,19","73,14","61,008","48,301","36,518"
"2917,39","97,194","23,578","85,176","73,094","60,942","48,238","36,471"
"2928,85","96,835","22,938","85,175","72,749","60,391","47,74","35,899"
"2929,47","96,816","22,906","85,159","72,726","60,363","47,714","35,861"
"2930,35","96,791","22,86","85,128","72,693","60,325","47,678","35,807"
"2941,73","96,529","22,345","84,399","72,13","59,909","47,219","35,101"
"2942,12","96,524","22,33","84,385","72,113","59,898","47,203","35,078"
2943,"96,513","22,298","84,357","72,078","59,875","47,166","35,028"
"2950,72","96,497","22,107","84,263","71,891","59,753","46,911","34,698"
"2953,85","96,539","22,094","84,281","71,891","59,755","46,904","34,651"
"2956,73","96,607","22,129","84,321","71,941","59,789","46,979","34,68"
"2959,17","96,686","22,204","84,372","72,031","59,844","47,103","34,776"
"2959,85","96,712","22,233","84,389","72,065","59,864","47,146","34,815"
"2961,16","96,766","22,3","84,425","72,143","59,906","47,238","34,905"
"2967,88","97,113","22,946","84,693","72,742","60,234","47,837","35,635"
2975,"97,556","24,151","85,143","73,486","60,78","48,593","36,631"
"2978,54","97,786","24,644","85,424","73,805","61,126","48,991","37,095"
"2985,96","98,251","25,332","86,098","74,317","61,997","49,837","37,878"
"2989,07","98,428","25,551","86,395","74,492","62,405","50,174","38,124"
"2990,66","98,512","25,657","86,545","74,574","62,614","50,326","38,23"
"2991,25","98,542","25,697","86,599","74,604","62,691","50,377","38,267"
"2992,12","98,585","25,755","86,678","74,647","62,801","50,447","38,319"
"2992,26","98,592","25,765","86,691","74,654","62,818","50,458","38,327"
3001,"98,906","26,342","87,268","75,046","63,351","50,824","38,694"
"3007,74","99,032","26,668","87,474","75,306","63,419","50,92","38,858"
"3011,17","99,076","26,768","87,535","75,385","63,428","50,951","38,918"
"3017,56","99,136","26,843","87,604","75,466","63,43","50,995","39,002"
"3021,45","99,164","26,849","87,628","75,496","63,425","51,015","39,04"
"3043,11","99,26","26,835","87,652","75,572","63,382","51,082","39,151"
"3053,98","99,288","26,875","87,64","75,588","63,36","51,099","39,173"
"3070,49","99,318","26,968","87,615","75,602","63,333","51,114","39,187"
"3092,37","99,347","27,079","87,581","75,611","63,304","51,121","39,188"
"3103,62","99,358","26,992","87,564","75,613","63,292","51,12","39,186"
"3113,55","99,368","26,93","87,55","75,614","63,281","51,117","39,182"
"3135,69","99,385","26,858","87,523","75,614","63,261","51,108","39,173"
"3140,68","99,389","26,847","87,517","75,614","63,257","51,105","39,171"
"3160,05","99,401","26,817","87,498","75,611","63,243","51,094","39,163"
"3188,83","99,416","26,791","87,473","75,606","63,226","51,073","39,149"
"3288,28","99,452","26,767","87,411","75,581","63,211","50,996","39,098"
"3378,12","99,461","26,776","87,383","75,556","63,298","50,931","39,048"
"3420,32","99,453","26,784","87,382","75,548","63,366","50,908","39,024"
"3424,22","99,452","26,784","87,383","75,547","63,37","50,907","39,022"
"3425,38","99,451","26,785","87,383","75,547","63,371","50,906","39,021"
"3425,8","99,451","26,785","87,383","75,547","63,371","50,906","39,021"
"3438,19","99,307","26,787","87,387","75,546","63,377","50,901","39,014"
"3493,41","99,298","26,8","87,483","75,574","63,28","50,89","38,982"
"3496,8","99,3","26,801","87,52","75,602","63,27","50,89","38,98"
"3496,86","99,3","26,801","87,521","75,604","63,27","50,89","38,98"
3497,"99,3","26,801","87,523","75,604","63,27","50,89","38,98"
"3497,33","99,3","26,801","87,529","75,605","63,269","50,89","38,98"
"3497,93","99,301","26,801","87,544","75,607","63,267","50,89","38,979"
"3498,78","99,301","26,801","87,575","75,609","63,264","50,89","38,979"
